event_id,kickoff,as_of,asof_kind,p_yes,model,q_market,y
sports:nba:0e111fb0-ae26-46e0-a5c8-3581830320a0,2025-11-01 21:00:00+00:00,2025-10-31 21:00:00+00:00,open,0.6778846153846154,market_baseline/v1,0.6778846153846154,0
sports:nba:0e111fb0-ae26-46e0-a5c8-3581830320a0,2025-11-01 21:00:00+00:00,2025-11-01 15:00:00+00:00,day_of,0.6950893268964669,market_baseline/v1,0.6950893268964669,0
sports:nba:0e111fb0-ae26-46e0-a5c8-3581830320a0,2025-11-01 21:00:00+00:00,2025-11-01 20:00:00+00:00,1h,0.7065820777160983,market_baseline/v1,0.7065820777160983,0
sports:nba:385cfd76-7204-461c-87db-c0856e9544e8,2025-11-01 22:00:00+00:00,2025-10-31 22:00:00+00:00,open,0.35294117647058826,market_baseline/v1,0.35294117647058826,0
sports:nba:385cfd76-7204-461c-87db-c0856e9544e8,2025-11-01 22:00:00+00:00,2025-11-01 16:00:00+00:00,day_of,0.36853910428631287,market_baseline/v1,0.36853910428631287,0
sports:nba:385cfd76-7204-461c-87db-c0856e9544e8,2025-11-01 22:00:00+00:00,2025-11-01 21:00:00+00:00,1h,0.37889039242219213,market_baseline/v1,0.37889039242219213,0
sports:nba:455c0c3a-6753-423d-84ea-405a7aa62add,2025-11-01 23:00:00+00:00,2025-10-31 23:00:00+00:00,open,0.2540415704387991,market_baseline/v1,0.2540415704387991,0
sports:nba:455c0c3a-6753-423d-84ea-405a7aa62add,2025-11-01 23:00:00+00:00,2025-11-01 17:00:00+00:00,day_of,0.24293299905632473,market_baseline/v1,0.24293299905632473,0
sports:nba:455c0c3a-6753-423d-84ea-405a7aa62add,2025-11-01 23:00:00+00:00,2025-11-01 22:00:00+00:00,1h,0.2355250245338567,market_baseline/v1,0.2355250245338567,0
sports:nba:9a75174c-c67e-40be-a361-fea76722e094,2025-11-01 23:00:00+00:00,2025-10-31 23:00:00+00:00,open,0.2099236641221374,market_baseline/v1,0.2099236641221374,1
sports:nba:9a75174c-c67e-40be-a361-fea76722e094,2025-11-01 23:00:00+00:00,2025-11-01 17:00:00+00:00,day_of,0.20216049524099203,market_baseline/v1,0.20216049524099203,1
